BR_CerM,BR_CerMID,BR_Chan,BR_Inst,BR_InstCh,FP_elect,FP_electCNT,FP_ref,FP_shank,FP_shfh_p,FP_shfh_r,FP_shfh_t,FP_shfh_x,FP_shfh_y,FP_shfh_z,FP_shs_r,FP_shs_s,HP_elect,HP_ref,OM_ch,OM_con,OM_pin,OM_ref
1,4,1,1,97,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,1,1,20,-99
4,3,508,4,92,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,508,-99,28,16,15,-99
5,3,515,5,67,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,515,-99,3,17,21,-99
5,3,516,5,68,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,516,-99,4,17,3,-99
8,4,1020,8,124,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1020,-99,28,32,15,-99
8,4,1021,8,125,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1021,-99,29,32,34,-99
-99,-99,-99,-99,-99,-99,-99,1,1,-99,-99,-99,-99,-99,-99,2,285,,,,1,,
8,4,1024,8,128,1,1,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1024,-99,0,32,17,-99
-99,-99,-99,-99,-99,2,2,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,-99,1,-99,1,1,1
1,4,2,1,98,3,3,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,2,-99,2,1,2,-99
1,4,4,1,100,4,4,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,4,-99,4,1,3,-99
-99,-99,-99,-99,-99,5,5,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,-99,8,,33,,9
8,4,1022,8,126,6,6,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1022,-99,30,32,16,-99
8,4,1013,8,117,7,7,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1013,-99,21,32,30,-99
8,4,1017,8,121,8,8,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1017,-99,25,32,32,-99
1,4,12,1,108,9,9,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,12,-99,12,1,7,-99
1,4,8,1,104,10,10,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,8,-99,8,1,5,-99
1,4,6,1,102,11,11,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,6,-99,6,1,4,-99
1,4,10,1,106,12,12,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,10,-99,10,1,6,-99
8,4,1019,8,123,13,13,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1019,-99,27,32,33,-99
8,4,1015,8,119,14,14,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1015,-99,23,32,31,-99
8,4,1005,8,109,15,15,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1005,-99,13,32,26,-99
8,4,1009,8,113,16,16,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1009,-99,17,32,28,-99
1,4,21,1,117,17,17,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,21,-99,21,1,30,-99
1,4,17,1,113,18,18,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,17,-99,17,1,28,-99
1,4,15,1,111,19,19,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,15,-99,15,1,27,-99
1,4,19,1,115,20,20,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,19,-99,19,1,29,-99
8,4,1011,8,115,21,21,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1011,-99,19,32,29,-99
8,4,1007,8,111,22,22,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1007,-99,15,32,27,-99
8,4,1003,8,107,23,23,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1003,-99,11,32,25,-99
8,4,996,8,100,24,24,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,996,-99,4,32,3,-99
8,4,1000,8,104,25,25,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1000,-99,8,32,5,-99
1,4,31,1,127,26,26,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,31,-99,31,1,34,-99
1,4,27,1,123,27,27,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,27,-99,27,1,32,-99
1,4,23,1,119,28,28,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,23,-99,23,1,31,-99
-99,-99,-99,-99,-99,29,29,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,-99,7,,33,,9
1,4,5,1,101,30,30,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,5,-99,5,1,22,-99
1,4,3,1,99,31,31,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,3,-99,3,1,21,-99
-99,-99,-99,-99,-99,32,32,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,-99,2,-99,1,36,1
8,4,1023,8,127,33,33,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1023,-99,31,32,35,-99
8,4,1014,8,118,34,34,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1014,-99,22,32,12,-99
8,4,1018,8,122,35,35,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1018,-99,26,32,14,-99
1,4,11,1,107,36,36,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,11,-99,11,1,25,-99
1,4,7,1,103,37,37,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,7,-99,7,1,23,-99
1,4,9,1,105,38,38,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,9,-99,9,1,24,-99
1,4,13,1,109,39,39,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,13,-99,13,1,26,-99
8,4,1016,8,120,40,40,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1016,-99,24,32,13,-99
8,4,1012,8,116,41,41,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1012,-99,20,32,11,-99
8,4,1006,8,110,42,42,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1006,-99,14,32,8,-99
8,4,1010,8,114,43,43,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1010,-99,18,32,10,-99
1,4,20,1,116,44,44,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,20,-99,20,1,11,-99
1,4,16,1,112,45,45,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,16,-99,16,1,9,-99
1,4,14,1,110,46,46,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,14,-99,14,1,8,-99
1,4,18,1,114,47,47,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,18,-99,18,1,10,-99
1,4,22,1,118,48,48,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,22,-99,22,1,12,-99
8,4,1008,8,112,49,49,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1008,-99,16,32,9,-99
8,4,1004,8,108,50,50,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1004,-99,12,32,7,-99
8,4,993,8,97,51,51,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,993,-99,1,32,20,-99
8,4,997,8,101,52,52,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,997,-99,5,32,22,-99
8,4,1001,8,105,53,53,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1001,-99,9,32,24,-99
1,4,30,1,126,54,54,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,30,-99,30,1,16,-99
1,4,26,1,122,55,55,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,26,-99,26,1,14,-99
1,4,24,1,120,56,56,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,24,-99,24,1,13,-99
-99,-99,-99,-99,-99,-99,-99,1,2,-99,-99,-99,-99,-99,-99,2,315,,,,31,,
1,4,29,1,125,1,57,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,29,-99,29,1,33,-99
8,4,1002,8,106,2,58,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,1002,-99,10,32,6,-99
8,4,998,8,102,3,59,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,998,-99,6,32,4,-99
8,4,994,8,98,4,60,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,994,-99,2,32,2,-99
8,1,982,8,22,5,61,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,982,-99,22,31,12,-99
8,1,986,8,26,6,62,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,986,-99,26,31,14,-99
8,1,990,8,30,7,63,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,990,-99,30,31,16,-99
1,1,42,1,10,8,64,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,42,-99,10,2,6,-99
1,1,38,1,6,9,65,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,38,-99,6,2,4,-99
1,1,34,1,2,10,66,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,34,-99,2,2,2,-99
1,1,36,1,4,11,67,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,36,-99,4,2,3,-99
1,1,40,1,8,12,68,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,40,-99,8,2,5,-99
8,1,992,8,32,13,69,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,992,-99,0,31,17,-99
8,1,988,8,28,14,70,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,988,-99,28,31,15,-99
8,1,984,8,24,15,71,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,984,-99,24,31,13,-99
8,1,971,8,11,16,72,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,971,-99,11,31,24,-99
8,1,975,8,15,17,73,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,975,-99,15,31,26,-99
8,1,979,8,19,18,74,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,979,-99,19,31,28,-99
1,1,54,1,22,19,75,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,54,-99,22,2,12,-99
1,1,50,1,18,20,76,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,50,-99,18,2,10,-99
1,1,46,1,14,21,77,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,46,-99,14,2,8,-99
1,1,44,1,12,22,78,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,44,-99,12,2,7,-99
1,1,48,1,16,23,79,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,48,-99,16,2,9,-99
1,1,52,1,20,24,80,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,52,-99,20,2,11,-99
8,1,981,8,21,25,81,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,981,-99,21,31,29,-99
8,1,977,8,17,26,82,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,977,-99,17,31,27,-99
8,1,973,8,13,27,83,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,973,-99,13,31,25,-99
8,2,959,8,63,28,84,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,959,-99,31,30,35,-99
1,4,28,1,124,29,85,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,28,-99,28,1,15,-99
1,4,32,1,128,30,86,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,32,-99,0,1,17,-99
8,4,999,8,103,31,87,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,999,-99,7,32,23,-99
8,4,995,8,99,32,88,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,995,-99,3,32,21,-99
8,1,983,8,23,33,89,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,983,-99,23,31,30,-99
8,1,987,8,27,34,90,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,987,-99,27,31,32,-99
8,1,991,8,31,35,91,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,991,-99,31,31,34,-99
1,1,41,1,9,36,92,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,41,-99,9,2,24,-99
1,1,37,1,5,37,93,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,37,-99,5,2,22,-99
1,1,33,1,1,38,94,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,33,-99,1,2,20,-99
1,1,35,1,3,39,95,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,35,-99,3,2,21,-99
1,1,39,1,7,40,96,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,39,-99,7,2,23,-99
1,1,43,1,11,41,97,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,43,-99,11,2,25,-99
8,1,989,8,29,42,98,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,989,-99,29,31,33,-99
8,1,985,8,25,43,99,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,985,-99,25,31,31,-99
8,1,972,8,12,44,100,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,972,-99,12,31,7,-99
8,1,976,8,16,45,101,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,976,-99,16,31,9,-99
8,1,980,8,20,46,102,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,980,-99,20,31,11,-99
1,1,53,1,21,47,103,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,53,-99,21,2,30,-99
1,1,49,1,17,48,104,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,49,-99,17,2,28,-99
1,1,45,1,13,49,105,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,45,-99,13,2,26,-99
1,1,47,1,15,50,106,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,47,-99,15,2,27,-99
1,1,51,1,19,51,107,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,51,-99,19,2,29,-99
1,1,55,1,23,52,108,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,55,-99,23,2,31,-99
8,1,978,8,18,53,109,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,978,-99,18,31,10,-99
8,1,974,8,14,54,110,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,974,-99,14,31,8,-99
8,1,970,8,10,55,111,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,970,-99,10,31,6,-99
8,2,960,8,64,56,112,-99,2,10.5,1.00286083294136,315,0.129228622712322,-0.129228622712322,0.98606783559327,2,315,960,-99,0,30,16,-99
-99,-99,-99,-99,-99,-99,-99,1,3,-99,-99,-99,-99,-99,-99,2,345,,,,30,,
8,1,967,8,7,1,113,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,967,-99,7,31,22,-99
1,2,67,1,35,2,114,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,67,-99,3,3,21,-99
1,1,63,1,31,3,115,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,63,-99,31,2,35,-99
1,1,59,1,27,4,116,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,59,-99,27,2,33,-99
1,1,56,1,24,5,117,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,56,-99,24,2,13,-99
1,1,57,1,25,6,118,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,57,-99,25,2,32,-99
1,1,61,1,29,7,119,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,61,-99,29,2,34,-99
1,2,65,1,33,8,120,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,65,-99,1,3,20,-99
8,1,969,8,9,9,121,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,969,-99,9,31,23,-99
8,1,965,8,5,10,122,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,965,-99,5,31,21,-99
8,1,961,8,1,11,123,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,961,-99,1,31,20,-99
8,2,957,8,61,12,124,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,957,-99,29,30,34,-99
8,2,946,8,50,13,125,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,946,-99,18,30,9,-99
8,2,950,8,54,14,126,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,950,-99,22,30,11,-99
8,2,954,8,58,15,127,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,954,-99,26,30,13,-99
1,2,81,1,49,16,128,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,81,-99,17,3,28,-99
1,2,77,1,45,17,129,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,77,-99,13,3,26,-99
1,2,73,1,41,18,130,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,73,-99,9,3,24,-99
1,2,69,1,37,19,131,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,69,-99,5,3,22,-99
1,2,71,1,39,20,132,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,71,-99,7,3,23,-99
1,2,75,1,43,21,133,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,75,-99,11,3,25,-99
1,2,79,1,47,22,134,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,79,-99,15,3,27,-99
8,2,956,8,60,23,135,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,956,-99,28,30,14,-99
8,2,952,8,56,24,136,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,952,-99,24,30,12,-99
8,2,948,8,52,25,137,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,948,-99,20,30,10,-99
8,2,944,8,48,26,138,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,944,-99,16,30,8,-99
8,3,928,8,96,27,139,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,928,-99,0,29,17,-99
8,2,932,8,36,28,140,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,932,-99,4,30,3,-99
8,1,964,8,4,29,141,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,964,-99,4,31,3,-99
8,1,968,8,8,30,142,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,968,-99,8,31,5,-99
1,2,66,1,34,31,143,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,66,-99,2,3,2,-99
1,1,62,1,30,32,144,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,62,-99,30,2,16,-99
1,1,58,1,26,33,145,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,58,-99,26,2,14,-99
1,1,60,1,28,34,146,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,60,-99,28,2,15,-99
1,1,64,1,32,35,147,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,64,-99,0,2,17,-99
1,2,68,1,36,36,148,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,68,-99,4,3,3,-99
8,1,966,8,6,37,149,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,966,-99,6,31,4,-99
8,1,962,8,2,38,150,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,962,-99,2,31,2,-99
8,2,958,8,62,39,151,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,958,-99,30,30,15,-99
8,2,943,8,47,40,152,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,943,-99,15,30,27,-99
8,2,947,8,51,41,153,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,947,-99,19,30,29,-99
8,2,951,8,55,42,154,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,951,-99,23,30,31,-99
8,2,955,8,59,43,155,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,955,-99,27,30,33,-99
1,2,80,1,48,44,156,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,80,-99,16,3,9,-99
1,2,76,1,44,45,157,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,76,-99,12,3,7,-99
1,2,72,1,40,46,158,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,72,-99,8,3,5,-99
1,2,70,1,38,47,159,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,70,-99,6,3,4,-99
1,2,74,1,42,48,160,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,74,-99,10,3,6,-99
1,2,78,1,46,49,161,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,78,-99,14,3,8,-99
1,2,82,1,50,50,162,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,82,-99,18,3,10,-99
8,2,953,8,57,51,163,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,953,-99,25,30,32,-99
8,2,949,8,53,52,164,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,949,-99,21,30,30,-99
8,2,945,8,49,53,165,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,945,-99,17,30,28,-99
8,2,929,8,33,54,166,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,929,-99,1,30,20,-99
8,2,933,8,37,55,167,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,933,-99,5,30,22,-99
8,2,937,8,41,56,168,-99,3,10.5,1.00286083294136,345,0.176529581521107,-0.0473009588087846,0.98606783559327,2,345,937,-99,9,30,24,-99
-99,-99,-99,-99,-99,-99,-99,1,4,-99,-99,-99,-99,-99,-99,2,15,,,,29,,
8,2,940,8,44,1,169,-99,4,10.5,1.00286083294136,15,0.176529581521107,0.0473009588087846,0.98606783559327,2,15,940,-99,12,30,6,-99
1,2,96,1,64,2,170,-99,4,10.5,1.00286083294136,15,0.176529581521107,0.0473009588087846,0.98606783559327,2,15,96,-99,0,3,17,-99
1,2,92,1,60,3,171,-99,4,10.5,1.00286083294136,15,0.176529581521107,0.0473009588087846,0.98606783559327,2,15,92,-99,28,3,15,-99
1,2,88,1,56,4,172,-99,4,10.5,1.00286083294136,15,0.176529581521107,0.0473009588087846,0.98606783559327,2,15,88,-99,24,3,13,-99
