BR_CerM,BR_CerMID,BR_Chan,BR_Inst,BR_InstCh,FP_elect,FP_electCNT,FP_ref,FP_shank,FP_shfh_p,FP_shfh_r,FP_shfh_t,FP_shfh_x,FP_shfh_y,FP_shfh_z,FP_shs_r,FP_shs_s,HP_elect,HP_ref,OM_ch,OM_con,OM_pin,OM_ref
4,1,442,4,26,49,889,-99,16,10.5,1.00286083294136,195,-0.176529581521107,-0.0473009588087846,0.98606783559327,2,195,442,-99,26,14,14,-99
5,1,593,5,17,50,890,-99,16,10.5,1.00286083294136,195,-0.176529581521107,-0.0473009588087846,0.98606783559327,2,195,593,-99,17,19,28,-99
5,1,589,5,13,51,891,-99,16,10.5,1.00286083294136,195,-0.176529581521107,-0.0473009588087846,0.98606783559327,2,195,589,-99,13,19,26,-99
5,1,585,5,9,52,892,-99,16,10.5,1.00286083294136,195,-0.176529581521107,-0.0473009588087846,0.98606783559327,2,195,585,-99,9,19,24,-99
5,1,581,5,5,53,893,-99,16,10.5,1.00286083294136,195,-0.176529581521107,-0.0473009588087846,0.98606783559327,2,195,581,-99,5,19,22,-99
5,1,598,5,22,54,894,-99,16,10.5,1.00286083294136,195,-0.176529581521107,-0.0473009588087846,0.98606783559327,2,195,598,-99,22,19,12,-99
5,1,602,5,26,55,895,-99,16,10.5,1.00286083294136,195,-0.176529581521107,-0.0473009588087846,0.98606783559327,2,195,602,-99,26,19,14,-99
5,1,606,5,30,56,896,-99,16,10.5,1.00286083294136,195,-0.176529581521107,-0.0473009588087846,0.98606783559327,2,195,606,-99,30,19,16,-99
-99,-99,-99,-99,-99,-99,-99,1,17,-99,-99,-99,-99,-99,-99,2,225,,,,18,,
4,3,485,4,69,1,897,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,485,-99,5,16,21,-99
4,3,489,4,73,2,898,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,489,-99,9,16,23,-99
5,3,542,5,94,3,899,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,542,-99,30,17,16,-99
5,3,538,5,90,4,900,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,538,-99,26,17,14,-99
5,2,547,5,35,5,901,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,547,-99,3,18,21,-99
5,2,551,5,39,6,902,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,551,-99,7,18,23,-99
5,2,555,5,43,7,903,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,555,-99,11,18,25,-99
4,2,477,4,61,8,904,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,477,-99,29,15,34,-99
4,2,473,4,57,9,905,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,473,-99,25,15,32,-99
4,2,471,4,55,10,906,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,471,-99,23,15,31,-99
4,2,475,4,59,11,907,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,475,-99,27,15,33,-99
4,2,479,4,63,12,908,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,479,-99,31,15,35,-99
5,2,553,5,41,13,909,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,553,-99,9,18,24,-99
5,2,549,5,37,14,910,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,549,-99,5,18,22,-99
5,2,545,5,33,15,911,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,545,-99,1,18,20,-99
5,2,559,5,47,16,912,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,559,-99,15,18,27,-99
5,2,563,5,51,17,913,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,563,-99,19,18,29,-99
5,2,567,5,55,18,914,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,567,-99,23,18,31,-99
4,2,466,4,50,19,915,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,466,-99,18,15,10,-99
4,2,462,4,46,20,916,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,462,-99,14,15,8,-99
4,2,458,4,42,21,917,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,458,-99,10,15,6,-99
4,2,460,4,44,22,918,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,460,-99,12,15,7,-99
4,2,464,4,48,23,919,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,464,-99,16,15,9,-99
4,2,468,4,52,24,920,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,468,-99,20,15,11,-99
5,2,565,5,53,25,921,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,565,-99,21,18,30,-99
